ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,Final Design 30slots.stp,,2
2,plate for lim.stp,,2
3,47065T417 Vertical support.stp,,8
4,rod through lim.stp,,6
5,socket head cap screw_ai.stp,,6
6,hex jam nut_ai.stp,,54
7,Vertical support for Bottom of Caliper.stp,,4
8,90642A359_FULLY THREADED CORROSION-RESISTANT T-SLOT NUT.stp,,48
9,8809T620_ALUMINUM BOLT-TOGETHER FRAMING (1).stp,,12
10,socket head cap screw_ai-0.stp,,64
11,33125T433_STRUT CHANNEL BRACKET.stp,,8
12,33125T434_STRUT CHANNEL CONNECTOR.stp,,4
13,T slot 45 angle.stp,,4
14,60355K503_BALL BEARING.stp,,8
15,SingleWheelLateralBracketWheel_v1.stp,,4
16,1327K113_MINIATURE 12L14 DRIVE STEEL SHAFT.stp,,4
17,SingleWheelLateralBracket_v2.stp,,4
18,DNM pin 12x6x40 spacer.STEP.stp,,8
19,DNM pin 12x6x28 spacer.STEP.stp,,8
20,DNM 165x38 body.STEP.stp,,4
21,DNM piston.STEP.stp,,4
22,450lbs helix spring.STEP.stp,,4
23,DNM spring ring.STEP.stp,,4
24,DNM pin 12x6x28.STEP.stp,,4
25,DNM pin 12x6x40.STEP.stp,,4
26,Vertical Suspension Plate.stp,,2
27,RightBracket.stp,,8
28,Vert_Susp_B2 Updated.stp,,4
29,Vertical_Suspension_Bracket1.stp,,4
30,1327K113_MINIATURE 12L14 DRIVE STEEL SHAFT-1.stp,,2
31,socket head cap screw_ai-2.stp,,4
32,socket head cap screw_ai-3.stp,,4
33,socket head cap screw_ai-4.stp,,16
34,1327K113_MINIATURE 12L14 DRIVE STEEL SHAFT_VSus.stp,,8
35,1327K114_MINIATURE 12L14 DRIVE STEEL SHAFT_VerticalSus.stp,,4
36,SingleWheelLateralBracketWheel_v1_VSus.stp,,4
37,60355K503_BALL BEARING-5.stp,,8
38,SpaceX Track.stp,,1
39,91292A147_TYPE 18-8 SS SOCKET HEAD CAP SCREW.stp,,8
40,Top tslot.stp,,2
41,side t slot.stp,,2
42,47065T417 top supports.stp,,3
43,front top_ALUMINUM T-SLOTTED FRAMING EXTRUSION.stp,,2
44,47065T417 top.stp,,2
